Voltage (V),Current (A)
+1.000000E-01,+6.777200E-04
+1.075000E-01,+7.285300E-04
+1.150000E-01,+7.793830E-04
+1.225000E-01,+8.301930E-04
+1.300000E-01,+8.810160E-04
+1.375000E-01,+9.318410E-04
+1.450000E-01,+9.826860E-04
+1.524990E-01,+1.033534E-03
+1.600000E-01,+1.084190E-03
+1.675000E-01,+1.135000E-03
+1.750000E-01,+1.185790E-03
+1.825000E-01,+1.236650E-03
+1.900000E-01,+1.287460E-03
+1.975000E-01,+1.338280E-03
+2.050000E-01,+1.389140E-03
+2.125000E-01,+1.439970E-03
+2.199990E-01,+1.490800E-03
+2.275000E-01,+1.541630E-03
+2.350000E-01,+1.592460E-03
+2.425000E-01,+1.643310E-03
+2.500000E-01,+1.694120E-03
+2.575000E-01,+1.744940E-03
+2.649990E-01,+1.795820E-03
+2.725000E-01,+1.846650E-03
+2.799990E-01,+1.897470E-03
+2.875000E-01,+1.948320E-03
+2.950000E-01,+1.999140E-03
+3.025000E-01,+2.049970E-03
+3.100000E-01,+2.100810E-03
+3.175000E-01,+2.151670E-03
+3.249990E-01,+2.202520E-03
+3.325000E-01,+2.253330E-03
+3.400000E-01,+2.304140E-03
+3.475000E-01,+2.355020E-03
+3.550000E-01,+2.405830E-03
+3.625000E-01,+2.456670E-03
+3.700000E-01,+2.507490E-03
+3.775000E-01,+2.558290E-03
+3.850000E-01,+2.609160E-03
+3.924990E-01,+2.659990E-03
+4.000000E-01,+2.710820E-03
+4.075000E-01,+2.761650E-03
+4.150000E-01,+2.812460E-03
+4.225000E-01,+2.863310E-03
+4.300000E-01,+2.914150E-03
+4.375000E-01,+2.964960E-03
+4.450000E-01,+3.015810E-03
+4.524990E-01,+3.066640E-03
+4.600000E-01,+3.117480E-03
+4.675000E-01,+3.168350E-03
+4.750000E-01,+3.219180E-03
+4.825000E-01,+3.270020E-03
+4.900000E-01,+3.320850E-03
+4.975000E-01,+3.371690E-03
+5.050000E-01,+3.422550E-03
+5.125000E-01,+3.473370E-03
+5.200000E-01,+3.524210E-03
+5.275000E-01,+3.575040E-03
+5.350000E-01,+3.625870E-03
+5.425000E-01,+3.676710E-03
+5.500000E-01,+3.727570E-03
+5.574990E-01,+3.778390E-03
+5.650000E-01,+3.829230E-03
+5.725000E-01,+3.880080E-03
+5.800000E-01,+3.930930E-03
+5.875000E-01,+3.981770E-03
+5.950000E-01,+4.032600E-03
+6.025000E-01,+4.083440E-03
+6.099990E-01,+4.134260E-03
+6.175000E-01,+4.185110E-03
+6.249990E-01,+4.235970E-03
+6.325000E-01,+4.286810E-03
+6.400000E-01,+4.337620E-03
+6.475000E-01,+4.388440E-03
+6.550000E-01,+4.439270E-03
+6.625000E-01,+4.490120E-03
+6.699990E-01,+4.540960E-03
+6.775000E-01,+4.591800E-03
+6.850000E-01,+4.642630E-03
+6.925000E-01,+4.693470E-03
+7.000000E-01,+4.744300E-03
+7.075000E-01,+4.795160E-03
+7.150000E-01,+4.845960E-03
+7.225000E-01,+4.896810E-03
+7.300000E-01,+4.947630E-03
+7.374990E-01,+4.998460E-03
+7.450000E-01,+5.049280E-03
+7.524990E-01,+5.100120E-03
+7.600000E-01,+5.150970E-03
+7.675000E-01,+5.201820E-03
+7.750000E-01,+5.252620E-03
+7.825000E-01,+5.303470E-03
+7.900000E-01,+5.354320E-03
+7.975000E-01,+5.405150E-03
+8.050000E-01,+5.455990E-03
+8.125000E-01,+5.506820E-03
+8.200000E-01,+5.557680E-03
+8.275000E-01,+5.608510E-03
+8.350000E-01,+5.659330E-03
+8.425000E-01,+5.710160E-03
+8.500000E-01,+5.761000E-03
+8.575000E-01,+5.811840E-03
+8.650000E-01,+5.862710E-03
+8.725000E-01,+5.913540E-03
+8.800000E-01,+5.964380E-03
+8.875000E-01,+6.015210E-03
+8.950000E-01,+6.066090E-03
+9.024990E-01,+6.116940E-03
+9.100000E-01,+6.167780E-03
+9.175000E-01,+6.218600E-03
+9.250000E-01,+6.269440E-03
+9.325000E-01,+6.320290E-03
+9.400000E-01,+6.371130E-03
+9.475000E-01,+6.421990E-03
+9.550000E-01,+6.472850E-03
+9.625000E-01,+6.523660E-03
+9.700000E-01,+6.574520E-03
+9.775000E-01,+6.625350E-03
+9.850000E-01,+6.676210E-03
+9.925000E-01,+6.727050E-03
+1.000000E+00,+6.777880E-03
